,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
4375,Owen & Engine,Z7Z0QCpKxJ_1JQcr6mz3VA,Chicago,IL,Gastropubs,41.93047,-87.68823,$$,1088,4.0
4376,Gather,WODBuNjlEgNIf459Wh-AWw,Chicago,IL,Wine Bars,41.9643402,-87.6853638,$$,818,4.5
4377,Davanti Enoteca,IvdOI86_CSCRFpid2atnyA,Chicago,IL,Italian,41.86911,-87.66147,$$,1204,4.0
4378,The Signature Room at the 95th,L1CS0gyTolKComzGwLk37A,Chicago,IL,Lounges,41.898796081543,-87.6230239868164,$$$,3141,3.5
4379,Coalfire Pizza,wiNuegM8MNw9WIP0wfMmeA,Chicago,IL,Pizza,41.89075,-87.65988,$$,1054,4.0
4380,Sawada Coffee,G-LUoHk_E_XCjSoSsaflFw,Chicago,IL,Coffee & Tea,41.8836669921875,-87.6489334106445,$$,584,4.5
4381,RAMEN-SAN,zIXZtgiir9CVF-iZeeAvaQ,Chicago,IL,Ramen,41.889798,-87.630293,$$,2003,4.0
4382,Stan's Donuts & Coffee,tzxnPFzKhLN1lu6Yn9g2tg,Chicago,IL,Donuts,41.910064,-87.677643,$$,1029,4.0
4383,DMK Burger Bar,763ARZeDvQfhXZvkDlKtFw,Chicago,IL,Burgers,41.936055,-87.65411,$$,1944,4.0
4384,Giordano's,Bxd9Y2PsdvIOGIKFQh53RQ,Chicago,IL,Pizza,41.885165,-87.623753,$$,2537,3.5
4385,Jeni's Splendid Ice Creams,nr3JxrY1zQDLsYKUKPqWzA,Chicago,IL,Ice Cream & Frozen Yogurt,41.943679,-87.664267,$$,585,4.5
4386,Toro Sushi,sjhBzCcFE2bzAG3j53roZQ,Chicago,IL,Sushi Bars,41.92907,-87.64281,$$,1085,4.0
4387,Ēma,tuJraaFffIS_JNK_4ZqGTA,Chicago,IL,Mediterranean,41.8909649,-87.6306233,$$,897,4.5
4388,Honey Butter Fried Chicken,eUlykGltBGH0RC5lkwx2eg,Chicago,IL,Chicken Shop,41.9426302817062,-87.7027218416333,$$,1857,4.0
4389,BIG & little's Restaurant,ZjHA6dwdgGXm-NjUcFezOA,Chicago,IL,Fish & Chips,41.898386,-87.63726,$$,1188,4.0
